old_uri,new_uri
http://example.com/mdhn/tgm011066,http://example.com/mdhn/tgm011066_Tribal_chiefs
http://example.com/mdhn/tgm004104,http://example.com/mdhn/tgm004104_Fleas
http://example.com/mdhn/tgm001576,http://example.com/mdhn/tgm001576_Camp_meetings
http://example.com/mdhn/tgm005151,http://example.com/mdhn/tgm005151_Hostesses
http://example.com/mdhn/tgm012268,http://example.com/mdhn/tgm012268_Fasces
http://example.com/mdhn/tgm004556,http://example.com/mdhn/tgm004556_Glass_blocks
http://example.com/mdhn/tgm010731,http://example.com/mdhn/tgm010731_Textiles
http://example.com/mdhn/tgm011341,http://example.com/mdhn/tgm011341_Vetoes
http://example.com/mdhn/tgm012841,http://example.com/mdhn/tgm012841_Shopping_carts
http://example.com/mdhn/tgm011860,http://example.com/mdhn/tgm011860_Wrestlers
http://example.com/mdhn/tgm007951,http://example.com/mdhn/tgm007951_Poi
http://example.com/mdhn/tgm003781,http://example.com/mdhn/tgm003781_Fables
http://example.com/mdhn/tgm009579,http://example.com/mdhn/tgm009579_Shrines
http://example.com/mdhn/tgm007889,http://example.com/mdhn/tgm007889_Plastics_industry
http://example.com/mdhn/tgm010362,http://example.com/mdhn/tgm010362_Sulphuric_acid_industry
http://example.com/mdhn/tgm003089,http://example.com/mdhn/tgm003089_Dining_rooms
http://example.com/mdhn/tgm002550,http://example.com/mdhn/tgm002550_Copper_industry
http://example.com/mdhn/tgm004223,http://example.com/mdhn/tgm004223_Forest_fires
http://example.com/mdhn/tgm012981,http://example.com/mdhn/tgm012981_Sustainable_architecture
http://example.com/mdhn/tgm013000,http://example.com/mdhn/tgm013000_Crusaders
http://example.com/mdhn/tgm012575,http://example.com/mdhn/tgm012575_Global_warming
http://example.com/mdhn/tgm008208,http://example.com/mdhn/tgm008208_Preventive_medicine
http://example.com/mdhn/tgm002257,http://example.com/mdhn/tgm002257_Coin_counting_machines
http://example.com/mdhn/tgm009222,http://example.com/mdhn/tgm009222_School_attendance
http://example.com/mdhn/tgm011013,http://example.com/mdhn/tgm011013_Transparencies
http://example.com/mdhn/tgm004906,http://example.com/mdhn/tgm004906_Hay
http://example.com/mdhn/tgm002885,http://example.com/mdhn/tgm002885_Date_orchards
http://example.com/mdhn/tgm003888,http://example.com/mdhn/tgm003888_Fatigue
http://example.com/mdhn/tgm009058,http://example.com/mdhn/tgm009058_Rulers
http://example.com/mdhn/tgm009819,http://example.com/mdhn/tgm009819_Social_workers
http://example.com/mdhn/tgm003943,http://example.com/mdhn/tgm003943_Fictitious_characters
http://example.com/mdhn/tgm004358,http://example.com/mdhn/tgm004358_Fugitives_from_justice
http://example.com/mdhn/tgm002110,http://example.com/mdhn/tgm002110_Cityscape_prints
http://example.com/mdhn/tgm007435,http://example.com/mdhn/tgm007435_Pantries
http://example.com/mdhn/tgm006475,http://example.com/mdhn/tgm006475_Metal_cuts
http://example.com/mdhn/tgm001495,http://example.com/mdhn/tgm001495_Butterfly_roofs
http://example.com/mdhn/tgm007904,http://example.com/mdhn/tgm007904_Playgrounds
http://example.com/mdhn/tgm006203,http://example.com/mdhn/tgm006203_Mail-order_businesses
http://example.com/mdhn/tgm007885,http://example.com/mdhn/tgm007885_Plasterwork
http://example.com/mdhn/tgm004932,http://example.com/mdhn/tgm004932_Healing
http://example.com/mdhn/tgm011186,http://example.com/mdhn/tgm011186_Ukiyo-e
http://example.com/mdhn/tgm012657,http://example.com/mdhn/tgm012657_Design_elements_Graphic
http://example.com/mdhn/tgm001386,http://example.com/mdhn/tgm001386_Buffets_Cookery
http://example.com/mdhn/tgm000547,http://example.com/mdhn/tgm000547_Artists
http://example.com/mdhn/tgm012846,http://example.com/mdhn/tgm012846_Defectors
http://example.com/mdhn/tgm004208,http://example.com/mdhn/tgm004208_Forced_labor
http://example.com/mdhn/tgm011041,http://example.com/mdhn/tgm011041_Treasure_troves
http://example.com/mdhn/tgm010745,http://example.com/mdhn/tgm010745_Theatrical_posters
http://example.com/mdhn/tgm000754,http://example.com/mdhn/tgm000754_Balustrades
http://example.com/mdhn/tgm006318,http://example.com/mdhn/tgm006318_Marriage_proposals
http://example.com/mdhn/tgm008656,http://example.com/mdhn/tgm008656_Reading
http://example.com/mdhn/tgm008124,http://example.com/mdhn/tgm008124_Poultry_industry
http://example.com/mdhn/tgm002762,http://example.com/mdhn/tgm002762_Crossbows
http://example.com/mdhn/tgm005021,http://example.com/mdhn/tgm005021_Historical_pageants
http://example.com/mdhn/tgm002414,http://example.com/mdhn/tgm002414_Concourses
http://example.com/mdhn/tgm003608,http://example.com/mdhn/tgm003608_English_language
http://example.com/mdhn/tgm004970,http://example.com/mdhn/tgm004970_Hemp
http://example.com/mdhn/tgm004463,http://example.com/mdhn/tgm004463_Gasoline_prices
http://example.com/mdhn/tgm002305,http://example.com/mdhn/tgm002305_Colonists
http://example.com/mdhn/tgm004017,http://example.com/mdhn/tgm004017_Firearms
http://example.com/mdhn/tgm010781,http://example.com/mdhn/tgm010781_Three-legged_racing
http://example.com/mdhn/tgm002491,http://example.com/mdhn/tgm002491_Contact_sheets
http://example.com/mdhn/tgm001785,http://example.com/mdhn/tgm001785_Cats
http://example.com/mdhn/tgm000925,http://example.com/mdhn/tgm000925_Beef_cattle
http://example.com/mdhn/tgm004043,http://example.com/mdhn/tgm004043_Firsts
http://example.com/mdhn/tgm011922,http://example.com/mdhn/tgm011922_Zoology
http://example.com/mdhn/tgm008805,http://example.com/mdhn/tgm008805_Reparations
http://example.com/mdhn/tgm007642,http://example.com/mdhn/tgm007642_Periscopes
http://example.com/mdhn/tgm004238,http://example.com/mdhn/tgm004238_Forms_Documents
http://example.com/mdhn/tgm005354,http://example.com/mdhn/tgm005354_Indian_reservations
http://example.com/mdhn/tgm001277,http://example.com/mdhn/tgm001277_Boxes
http://example.com/mdhn/tgm000681,http://example.com/mdhn/tgm000681_Aviation_mechanics_Science
http://example.com/mdhn/tgm004904,http://example.com/mdhn/tgm004904_Hawks
http://example.com/mdhn/tgm000053,http://example.com/mdhn/tgm000053_Acolytes
http://example.com/mdhn/tgm008308,http://example.com/mdhn/tgm008308_Promotional_materials
http://example.com/mdhn/tgm006714,http://example.com/mdhn/tgm006714_Molotov_cocktails
http://example.com/mdhn/tgm013009,http://example.com/mdhn/tgm013009_Deforestation
http://example.com/mdhn/tgm010735,http://example.com/mdhn/tgm010735_Thatched_roofs
http://example.com/mdhn/tgm010957,http://example.com/mdhn/tgm010957_Trade_cards
http://example.com/mdhn/tgm007403,http://example.com/mdhn/tgm007403_Palettes
http://example.com/mdhn/tgm000895,http://example.com/mdhn/tgm000895_Beams
http://example.com/mdhn/tgm010506,http://example.com/mdhn/tgm010506_Tableware
http://example.com/mdhn/tgm011322,http://example.com/mdhn/tgm011322_Ventriloquism
http://example.com/mdhn/tgm006928,http://example.com/mdhn/tgm006928_Musical_revues__comedies
http://example.com/mdhn/tgm005049,http://example.com/mdhn/tgm005049_Hold-to-light_works
http://example.com/mdhn/tgm007569,http://example.com/mdhn/tgm007569_Peasant_rebellions
http://example.com/mdhn/tgm003610,http://example.com/mdhn/tgm003610_Engravings
http://example.com/mdhn/tgm009874,http://example.com/mdhn/tgm009874_Sound_recordings
http://example.com/mdhn/tgm011428,http://example.com/mdhn/tgm011428_Voussoirs
http://example.com/mdhn/tgm010042,http://example.com/mdhn/tgm010042_Stampedes
http://example.com/mdhn/tgm008215,http://example.com/mdhn/tgm008215_Pride
http://example.com/mdhn/tgm011473,http://example.com/mdhn/tgm011473_War_bonnets
http://example.com/mdhn/tgm006468,http://example.com/mdhn/tgm006468_Mermaids
http://example.com/mdhn/tgm003939,http://example.com/mdhn/tgm003939_Fibers
http://example.com/mdhn/tgm010307,http://example.com/mdhn/tgm010307_Studio_props
http://example.com/mdhn/tgm011082,http://example.com/mdhn/tgm011082_Triptychs
http://example.com/mdhn/tgm009839,http://example.com/mdhn/tgm009839_Softball
http://example.com/mdhn/tgm002714,http://example.com/mdhn/tgm002714_Crches_Nativity_scenes
http://example.com/mdhn/tgm003890,http://example.com/mdhn/tgm003890_Faucets
http://example.com/mdhn/tgm000729,http://example.com/mdhn/tgm000729_Ball_dresses
http://example.com/mdhn/tgm007125,http://example.com/mdhn/tgm007125_Nuclear_power
http://example.com/mdhn/tgm002689,http://example.com/mdhn/tgm002689_Coyotes
http://example.com/mdhn/tgm002610,http://example.com/mdhn/tgm002610_Costumes
http://example.com/mdhn/tgm004037,http://example.com/mdhn/tgm004037_Firing_squads
http://example.com/mdhn/tgm002964,http://example.com/mdhn/tgm002964_Delegations
http://example.com/mdhn/tgm006308,http://example.com/mdhn/tgm006308_Marks_Symbols
http://example.com/mdhn/tgm000684,http://example.com/mdhn/tgm000684_Avocados
http://example.com/mdhn/tgm012326,http://example.com/mdhn/tgm012326_Prayer_flags
http://example.com/mdhn/tgm008534,http://example.com/mdhn/tgm008534_Radiophones
http://example.com/mdhn/tgm001316,http://example.com/mdhn/tgm001316_Brethren_churches
http://example.com/mdhn/tgm004390,http://example.com/mdhn/tgm004390_Gables
http://example.com/mdhn/tgm011477,http://example.com/mdhn/tgm011477_War_correspondents
http://example.com/mdhn/tgm012511,http://example.com/mdhn/tgm012511_Fertilization_in_vitro
http://example.com/mdhn/tgm008508,http://example.com/mdhn/tgm008508_Racism
http://example.com/mdhn/tgm007361,http://example.com/mdhn/tgm007361_Oystering
http://example.com/mdhn/tgm002938,http://example.com/mdhn/tgm002938_Decorative_arts
http://example.com/mdhn/tgm011254,http://example.com/mdhn/tgm011254_Ushers
http://example.com/mdhn/tgm011339,http://example.com/mdhn/tgm011339_Veterinary_hospitals
http://example.com/mdhn/tgm004961,http://example.com/mdhn/tgm004961_Helicopters
http://example.com/mdhn/tgm010550,http://example.com/mdhn/tgm010550_Tap_dancing
http://example.com/mdhn/tgm002142,http://example.com/mdhn/tgm002142_Clay
http://example.com/mdhn/tgm001486,http://example.com/mdhn/tgm001486_Butchers
http://example.com/mdhn/tgm004543,http://example.com/mdhn/tgm004543_Gifts
